English,Santali
Membership cards are typically mailed within 10 days.,ᱨᱟᱹᱥᱤᱭᱟᱹ ᱠᱟᱨᱰᱠᱚ ᱥᱟᱫᱷᱟᱨᱚᱱᱚᱛ ᱑᱐ ᱢᱟᱦᱟ ᱵᱷᱤᱛᱟᱹᱨ ᱨᱮ ᱢᱮᱞ ᱦᱩᱭᱩᱜᱼᱟ ᱾
"Some of Puducherry's regions are themselves amalgamations of non-contiguous enclaves, often called ""pockets"" in India.","ᱯᱚᱫᱩᱪᱮᱨᱤ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱵᱟᱨ ᱴᱚᱴᱷᱟ ᱦᱟᱸᱰᱮ ᱱᱟᱰᱮ ᱪᱷᱤᱴ ᱢᱚᱦᱚᱞ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱫᱚ, ᱵᱷᱟᱨᱚᱛ ᱡᱟᱦᱟᱸ ᱫᱚ ""ᱯᱚᱠᱮᱴ' ᱢᱮᱱᱛᱮᱠᱚ ᱢᱮᱛᱟᱜᱼᱟ ᱾"
Suhasini is an actress and married to film director Mani Ratnam.,ᱥᱩᱦᱟᱥᱤᱱᱤ ᱫᱚ ᱢᱤᱫ ᱦᱚᱲ ᱯᱟᱴᱷᱚᱠᱤᱭᱟᱹ ᱟᱨ ᱪᱚᱞᱚᱛ ᱪᱤᱛᱟᱹᱨ ᱥᱟᱯᱲᱟᱣᱤᱡ ᱢᱚᱱᱤ ᱨᱚᱛᱱᱚᱢᱮ ᱵᱟᱯᱞᱟ ᱞᱮᱫᱮ ᱛᱟᱦᱮᱸᱫ ᱾
They contain snippets of solfege to be used when performing the mentioned ragas.,ᱚᱞ ᱟᱠᱟᱱ ᱨᱟᱜ ᱠᱚ ᱢᱩᱪᱟᱹᱫ ᱚᱠᱛᱮ ᱵᱮᱣᱦᱟᱨ ᱞᱟᱹᱜᱤᱫ ᱱᱚᱣᱟ ᱠᱚᱨᱮ ᱥᱚᱞᱯᱷᱮᱡ ᱨᱮᱭᱟᱜ ᱠᱩᱴᱨᱟᱹ ᱛᱟᱸᱦᱮᱱᱟ ᱾
These belong mostly to the Sino-Tibetan language family.,ᱱᱚᱶᱟ ᱠᱚᱫᱚ ᱡᱟᱹᱥᱛᱤ ᱠᱟᱭᱛᱮ ᱪᱤᱱᱼᱛᱤᱵᱵᱚᱛ ᱯᱟᱹᱨᱥᱤ ᱜᱷᱟᱨᱚᱧᱡᱽ ᱨᱮ ᱥᱮᱞᱮᱫ ᱢᱮᱱᱟᱜᱼᱟ ᱾
There are legends associated with the Karwa Chauth festival.,ᱠᱟᱨᱳᱣᱟ ᱪᱚᱣᱛᱷᱚ ᱯᱚᱨᱚᱵᱽ ᱥᱟᱶᱛᱮ ᱨᱩᱯᱠᱟᱛᱷᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱾
"At the conclusion of the first part of the wedding ceremony, it is customary to present gifts to the bride.","ᱵᱟᱯᱞᱟ ᱚᱲᱟᱜ ᱨᱮ ᱯᱳᱭᱞᱳ ᱦᱚᱨᱟ ᱢᱩᱪᱟᱹᱫ ᱛᱟᱭᱚᱢ, ᱱᱟᱶᱟ ᱵᱟᱦᱩᱣᱟᱜ ᱛᱤ ᱨᱮ ᱥᱟᱸᱫᱮᱥ ᱪᱟᱞ ᱨᱮᱭᱟᱜ ᱟᱹᱨᱤ ᱪᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾"
"For instance, a community that was once a mission and they have had a large cross on a mountaintop that to them is more a historical marker.","ᱫᱟᱹᱭᱠᱟᱹ ᱥᱟᱞᱟᱜ , ᱢᱤᱫᱴᱟᱝ ᱜᱟᱛᱟᱜ ᱡᱟᱸᱦᱟ ᱢᱤᱫ ᱚᱠᱛᱚ ᱢᱤᱫᱴᱟᱝ ᱢᱤᱥᱚᱱ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱟᱨ ᱡᱟᱦᱟᱱ ᱵᱩᱨᱩ ᱪᱮᱛᱟᱱ ᱨᱮ ᱩᱱᱠᱩᱣᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱢᱟᱨᱟᱝ ᱠᱩᱨᱩᱥ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱡᱟᱸᱦᱟ ᱫᱚ ᱩᱱᱠᱩ ᱴᱷᱮᱱ ᱟᱹᱰᱤ ᱡᱟᱥᱛᱤ ᱠᱟᱭᱛᱮ ᱱᱟᱜᱟᱢ ᱟᱱᱟᱜ ᱪᱤᱱᱦᱟᱹ ᱠᱟᱱᱟ ᱾"
"There are only few tourists sites like Chatjo River, Ramakrishna Mission Campus, St. George Catholic Church and nearby villages are the best attractions in Deomali.","ᱪᱟᱴᱡᱳ ᱜᱟᱰᱟ, ᱨᱟᱢᱠᱨᱤᱥᱱᱚ ᱢᱤᱥᱚᱱ ᱠᱮᱢᱯᱟᱥ, ᱥᱮᱱᱴ ᱡᱚᱨᱡᱽ ᱠᱮᱛᱷᱚᱞᱤᱠ ᱪᱟᱨᱪ ᱟᱨ ᱟᱰᱮᱯᱟᱥᱮ ᱨᱮᱭᱟᱜ ᱟᱛᱳ ᱠᱚ ᱞᱮᱠᱟᱱ ᱛᱤᱱᱟᱹᱜ ᱜᱟᱱ ᱧᱮᱞᱡᱚᱝ ᱴᱷᱟᱶ ᱢᱮᱱᱟᱜᱼᱟ ᱫᱮᱣᱢᱟᱞᱤ ᱨᱮᱭᱟᱜ ᱥᱚᱨᱮᱥ ᱚᱱᱚᱨ ᱾"
"You should then send out applications to several positions you think will be a good fit for you, based on your resume and your qualifications.",ᱚᱱᱟᱛᱟᱭᱚᱢ ᱟᱢᱟᱜ ᱡᱤᱭᱚᱱᱪᱩᱨᱤᱛ ᱟᱨ ᱟᱢᱟᱜ ᱡᱳᱜᱢᱟᱱ ᱪᱮᱛᱟᱱ ᱴᱮᱸᱦᱟᱴ ᱠᱟᱛᱮ ᱟᱢᱟᱜ ᱞᱟᱹᱜᱤᱫ ᱥᱚᱨᱮᱥ ᱢᱮᱱᱛᱮᱢ ᱢᱚᱱᱮᱭᱟ ᱮᱢᱚᱱ ᱵᱮᱥ ᱛᱤᱱᱟᱹᱜ ᱯᱚᱫ ᱨᱮᱭ ᱟᱨᱫᱟᱥ ᱥᱟᱠᱟᱢ ᱠᱳᱞ ᱢᱮ ᱾
"He also wore hand-spun clothes colloquially called ""Khadi"" as was advocated by Gandhi.",ᱩᱱᱤ ᱜᱟᱱᱫᱷᱤᱡᱤ ᱫᱟᱨᱟᱭᱛᱮ ᱵᱮᱱᱟᱣᱟᱜ 'ᱠᱷᱟᱫᱤ' ᱧᱩᱛᱩᱢᱛᱮ ᱩᱨᱩᱢᱚᱜ ᱛᱤᱛᱮ ᱛᱟᱠᱚᱭ ᱜᱮᱸᱫᱟᱜ ᱠᱤᱪᱨᱤᱡ ᱦᱚᱭ ᱦᱚᱨᱚᱜᱽ ᱛᱟᱦᱮᱱ ᱾
Reenu Mathews is an Indian actress who has acted in Malayalam films.,ᱨᱮᱱᱩ ᱢᱮᱛᱷᱤᱣᱩᱥ ᱫᱚ ᱠᱟᱱᱟᱭ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱱ ᱢᱤᱫ ᱯᱟᱴᱷᱚᱠᱤᱭᱟᱹ ᱡᱟᱦᱟᱸᱭ ᱫᱚ ᱢᱟᱞᱟᱭᱚᱞᱚᱢ ᱪᱚᱞᱚᱛ ᱪᱤᱛᱟᱹᱨ ᱨᱮ ᱚᱵᱷᱤᱱᱚᱭ ᱟᱠᱟᱫᱟᱭ ᱾
"Ray was reluctant to go, due to his fondness for Calcutta and the low regard for the intellectual life at Santiniketan.",ᱠᱚᱞᱠᱟᱛᱟ ᱥᱟᱶ ᱟᱡᱟᱜ ᱡᱚᱯᱚᱲᱟᱣ ᱟᱨ ᱥᱟᱱᱛᱤᱱᱤᱠᱮᱛᱚᱱ ᱨᱮ ᱵᱩᱫᱽᱫᱷᱤᱡᱤᱵᱤ ᱡᱤᱣᱚᱱ ᱥᱟᱶ ᱠᱚᱢ ᱢᱟᱱᱚᱛ ᱨᱮᱱᱟᱜ ᱚᱡᱮᱛᱮ ᱥᱚᱹᱛᱛᱚᱡᱤᱛ ᱪᱟᱞᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱛᱮ ᱨᱟᱹᱡᱤ ᱵᱟᱝᱮ ᱛᱟᱦᱮᱸᱠᱟᱱᱟ ᱾
Hindus are the majority in the state and are the dominant religion in all districts of the state.,ᱦᱤᱱᱫᱩ ᱠᱚᱫᱚ ᱯᱚᱱᱚᱛ ᱨᱮ ᱥᱟᱸᱜᱮᱼᱮᱞᱟᱱ ᱟᱨ ᱯᱚᱱᱚᱛ ᱨᱮᱭᱟᱜ ᱥᱟᱱᱟᱢ ᱦᱚᱱᱚᱛ ᱨᱮᱜᱮ ᱫᱟᱲᱮᱭᱟᱱ ᱫᱷᱚᱨᱚᱢ ᱾
"Over the years, the Mughals began to have internal disputes which greatly distracted them at times.","ᱥᱮᱨᱢᱟ ᱛᱟᱭᱚᱢ ᱥᱮᱨᱢᱟ ᱫᱷᱟᱹᱵᱤᱡ, ᱢᱩᱜᱷᱚᱞ ᱠᱚ ᱢᱩᱫᱨᱮ ᱵᱷᱤᱛᱨᱤ ᱵᱤᱨᱩᱫᱷ ᱪᱟᱞᱟᱜ ᱡᱟᱦᱟᱸ ᱩᱱᱠᱩ ᱜᱷᱟᱱᱮ ᱜᱷᱟᱱᱮ ᱟᱹᱰᱤ ᱟᱸᱴᱮ ᱟᱹᱲᱤᱥ ᱠᱚᱣᱟᱭ ᱾"
"She gained popularity as Neetu Singh, Zafar's girlfriend in Fukrey Series.",ᱩᱱᱤ ᱫᱚ ᱯᱷᱩᱠᱨᱮ ᱥᱤᱨᱤᱡᱽ ᱨᱮ ᱡᱟᱯᱷᱚᱨ ᱨᱮᱱ ᱜᱟᱛᱮᱠᱩᱲᱤ ᱱᱤᱛᱩ ᱥᱤᱝᱦᱚ ᱞᱮᱠᱟᱛᱮᱭ ᱧᱩᱢ ᱩᱨᱩᱢ ᱞᱮᱱᱟ ᱾
Each tribe has one or more dialects that are unintelligible to others.,"ᱥᱟᱱᱟᱢ ᱩᱯᱚᱡᱟᱹᱛᱤᱭᱟᱜ ᱢᱤᱫ ᱵᱟᱝᱠᱷᱟᱱ ᱟᱭᱢᱟ ᱪᱟᱸᱜᱟ ᱯᱟᱹᱨᱥᱤ ᱢᱮᱱᱟᱜᱼᱟ, ᱡᱟᱸᱦᱟ ᱮᱴᱟᱜ ᱠᱚ ᱴᱷᱮᱱ ᱟᱡᱷᱟᱴ ᱜᱮᱭᱟ ᱾"
She or he will also prepare you for deposition and/or testifying in a court trial.,ᱛᱤᱨᱞᱟᱹ ᱥᱮ ᱠᱚᱲᱟ ᱮᱴᱚᱨᱱᱤ ᱟᱢ ᱡᱚᱵᱟᱱ ᱠᱟᱛᱷᱟ ᱠᱚ ᱟᱨ/ ᱥᱮ ᱠᱟᱹᱪᱷᱟᱹᱨᱤ ᱨᱮᱭᱟᱜ ᱵᱤᱪᱟᱹᱨ ᱨᱮ ᱥᱟᱹᱠᱷᱤ ᱮᱢ ᱞᱟᱹᱜᱤᱫ ᱛᱮᱭᱟᱨ ᱢᱮᱭᱟᱭ ᱾
He was introduced to the educational aspects of the project and assisted greatly with the technical aspects and community-building efforts.,"ᱯᱚᱱᱛᱷᱟ ᱨᱮᱭᱟᱜ ᱥᱮᱪᱮᱫ ᱟᱱ ᱱᱟᱠᱷᱟᱠᱚ ᱥᱟᱞᱟᱜ ᱩᱱᱤ ᱩᱯᱨᱩᱢ ᱦᱳᱭ ᱞᱮᱱ ᱛᱟᱭᱟ, ᱟᱨ ᱯᱚᱨᱚᱡᱩᱠᱛᱤ ᱠᱷᱚᱱ ᱟᱨ ᱜᱩᱴ ᱵᱮᱱᱟᱣ ᱨᱮ ᱟᱹᱰᱤ ᱨᱤᱠᱤᱨ ᱛᱮ ᱩᱱᱤ ᱟᱹᱰᱤ ᱞᱮᱠᱟᱛᱮ ᱜᱚᱲᱚ ᱞᱮᱱᱟᱭ ᱾"
Madhya Pradesh is divided into 52 districts for administrative purposes.,ᱯᱨᱚᱥᱟᱥᱚᱱᱤᱠ ᱠᱷᱟᱛᱤᱨᱛᱮ ᱢᱚᱫᱽᱫᱷᱚᱯᱨᱚᱫᱮᱥ ᱫᱚ ᱕᱒ ᱜᱚᱴᱟᱝ ᱦᱚᱱᱚᱛ ᱨᱮ ᱦᱟᱹᱴᱤᱧ ᱟᱠᱟᱱᱟ ᱾
"Programmes by the government, local and international organisations are working to develop and rejuvenate this traditional system of healing.","ᱥᱚᱠᱟᱨ, ᱴᱚᱴᱷᱟᱨᱮᱱ ᱟᱨ ᱡᱮᱜᱮᱫ ᱡᱟᱠᱟᱫ ᱜᱟᱶᱛᱟ ᱠᱚ ᱠᱟᱹᱢᱤ ᱦᱚᱨᱟ ᱠᱚ ᱱᱚᱶᱟ ᱥᱮᱨᱣᱟ ᱟᱱᱟᱜ ᱥᱩᱫᱷᱨᱟᱹᱣ ᱟᱨ ᱩᱛᱱᱟᱹᱣ ᱥᱟᱶᱛᱮ ᱫᱚᱲᱦᱟᱡᱤᱭᱟᱹᱲ ᱞᱟᱹᱜᱤᱫ ᱮ ᱠᱟᱹᱢᱤ ᱠᱟᱱᱟ ᱾"
The trek to Roopkund passes through the meadows of Bugyal.,ᱨᱩᱯᱠᱩᱱᱰᱩ ᱫᱷᱟᱹᱵᱤᱡ ᱴᱨᱮᱠ ᱫᱚ ᱵᱩᱜᱤᱭᱟᱞ ᱛᱟᱥᱟᱫ ᱢᱮᱞᱟᱱ ᱛᱟᱞᱟᱛᱮ ᱪᱟᱞᱟᱣ ᱟᱠᱟᱱᱟ ᱾
"At the same time, a reorganisation act was also passed, which would reconstitute the state into two union territories, Jammu and Kashmir and Ladakh.","ᱤᱱᱟᱹ ᱚᱠᱛᱚ ᱨᱮᱜᱮ ᱢᱤᱫᱴᱟᱝ ᱫᱚᱲᱦᱟ ᱵᱮᱱᱟᱣ ᱟᱭᱤᱱ ᱯᱟᱥ ᱞᱮᱱᱟ, ᱡᱟᱸᱦᱟ ᱫᱚ ᱡᱚᱢᱢᱩᱼᱠᱟᱥᱢᱤᱨ ᱟᱨ ᱞᱟᱫᱟᱠᱷ, ᱱᱚᱶᱟ ᱵᱟᱨᱭᱟ ᱫᱤᱥᱚᱢ ᱥᱚᱨᱠᱟᱨᱟᱜ ᱥᱟᱥᱚᱱ ᱴᱷᱟᱶ ᱨᱮᱭ ᱵᱮᱱᱟᱶ ᱨᱩᱣᱟᱹᱲᱟ ᱾"
"The Pallavas ruled parts of South India, with Kanchipuram as their capital.",ᱯᱚᱞᱞᱚᱵᱽ ᱠᱚᱫᱚ ᱫᱩᱠᱠᱷᱤᱱ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱠᱤᱪᱷᱩ ᱦᱤᱸᱥ ᱠᱚ ᱥᱟᱥᱚᱱ ᱞᱮᱫᱟ ᱟᱨ ᱠᱟᱧᱪᱤᱯᱩᱨᱚᱢ ᱨᱮ ᱟᱠᱚᱣᱟᱜ ᱨᱟᱡᱽᱜᱟᱲ ᱛᱟᱦᱮᱸᱠᱟᱱᱟ ᱾
"If you think THOMAS may be able to help you track legislation, start by visiting the THOMAS site.","ᱟᱢ ᱡᱩᱫᱤᱢ ᱢᱚᱱᱮᱭᱟᱢ ᱛᱷᱚᱢᱟᱥ ᱟᱢ ᱟᱹᱱ ᱯᱟᱸᱡᱟᱭ ᱨᱮ ᱜᱚᱲᱚ ᱫᱟᱲᱮᱭᱟᱢᱟ, ᱮᱸᱰᱮᱠᱷᱟᱱ ᱛᱷᱚᱢᱟᱥ ᱥᱟᱭᱤᱴᱨᱮ ᱪᱟᱞᱟᱣ ᱠᱟᱛᱮ ᱠᱟᱹᱢᱤ ᱮᱛᱚᱦᱚᱵ ᱢᱮ ᱾"
"Meghalaya has two representatives in the Lok Sabha, one each from Shillong and Tura.","ᱢᱮᱜᱷᱟᱞᱚᱭ ᱨᱮᱭᱟᱜ ᱞᱳᱠᱥᱚᱵᱷᱟ ᱨᱮ ᱵᱟᱨᱦᱚᱲ ᱢᱟᱬᱛᱮ ᱢᱮᱱᱟᱜ ᱠᱤᱱᱟ, ᱥᱤᱞᱚᱝ ᱟᱨ ᱛᱩᱨᱟᱹ ᱠᱷᱚᱱ ᱢᱤᱫᱦᱚᱲ ᱠᱟᱛᱮ ᱾"
"There remain approximately 400â€“450 indigenous Andamanese in the Andaman islands, the Jarawa and Sentinelese, in particular, maintaining steadfast independence and refusing most attempts at contact.","ᱟᱱᱫᱟᱢᱟᱱ ᱫᱤᱯᱯᱩᱧᱡᱽ ᱨᱮ ᱯᱮᱨᱟᱭ ᱔᱐᱐ᱼ᱔᱕᱐ ᱦᱚᱲ ᱟᱱᱫᱟᱢᱟᱱᱤ ᱟᱹᱫᱤᱵᱟᱹᱥᱤ, ᱠᱷᱟᱥ ᱠᱟᱭᱛᱮ ᱡᱟᱨᱣᱟ ᱟᱨ ᱥᱮᱱᱴᱤᱱᱮᱞᱤᱡᱽ ᱢᱮᱱᱟᱜ ᱠᱚ ᱜᱮᱭᱟᱹ ᱡᱟᱸᱦᱟᱭ ᱠᱚ ᱟᱠᱳᱣᱟᱜ ᱯᱷᱩᱱᱩᱨᱜᱟᱹᱞ ᱠᱚ ᱡᱤᱭᱟᱹᱲ ᱫᱚᱦᱚ ᱟᱠᱟᱫᱟ ᱟᱨ ᱡᱳᱜᱟᱡᱳᱜᱽ ᱨᱮᱭᱟᱜ ᱟᱹᱰᱤ ᱜᱟᱱ ᱯᱚᱨᱚᱪᱮᱥᱴᱟ ᱠᱚ ᱮᱸᱰᱮᱞ ᱟᱠᱟᱫᱟ ᱾"
Cultures are not often taken or needed as most cases resolve either with time or typical antibiotics.,ᱫᱤᱱᱟᱹᱢ ᱫᱚ ᱵᱤᱰᱟᱶ ᱵᱟᱝ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱥᱮ ᱚᱱᱟ ᱨᱮᱱᱟᱜ ᱞᱟᱹᱠᱛᱤ ᱵᱟᱝ ᱦᱩᱭᱩᱜ ᱟ ᱪᱮᱫᱟᱜ ᱥᱮ ᱟᱹᱰᱤᱜᱟᱱ ᱢᱟᱢᱞᱟ ᱚᱠᱛᱚ ᱨᱮ ᱥᱮ ᱮᱢᱱᱤ ᱮᱱᱴᱤᱵᱟᱭᱳᱴᱤᱠ ᱨᱟᱱ ᱥᱟᱞᱟᱜ ᱛᱚᱨᱟᱣ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ᱾
The Kingdom of Gorkha conquered many kingdoms and came to power in Nepal in 1768.,ᱜᱳᱨᱠᱷᱟ ᱯᱚᱱᱚᱛ ᱟᱭᱢᱟ ᱯᱚᱱᱚᱛ ᱮ ᱡᱤᱛᱟᱹᱣ ᱞᱮᱫᱟ ᱟᱨ ᱑᱗᱖᱘ ᱥᱟᱹᱦᱤᱛ ᱨᱮ ᱱᱮᱯᱟᱞ ᱨᱮ ᱠᱷᱚᱢᱚᱛᱟ ᱨᱮᱭ ᱦᱮᱡ ᱞᱮᱱᱟ ᱾
"Tripura lies in a geographically isolated location in India, as only one major highway, National Highway 8, connects it with the rest of the country.","ᱛᱨᱤᱯᱩᱨᱟ ᱫᱚ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱚᱛᱱᱚᱜ ᱟᱱᱟᱜ ᱞᱮᱠᱟᱛᱮ ᱵᱷᱮᱜᱟᱨ ᱟᱱ ᱴᱷᱟᱶ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ, ᱪᱮᱫᱟᱜ ᱥᱮ ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱢᱩᱬᱩᱫ ᱰᱟᱦᱟᱨ, ᱡᱟᱹᱛᱤᱭᱟᱹᱨᱤ ᱰᱟᱦᱟᱨ ᱘, ᱱᱚᱶᱟ ᱫᱚ ᱫᱤᱥᱚᱢ ᱨᱮᱭᱟᱜ ᱮᱴᱟᱜ ᱦᱤᱸᱥ ᱥᱟᱞᱟᱜᱼᱮ ᱥᱮᱞᱮᱫ ᱟᱠᱟᱫᱟ ᱾"
"Eventually, her government by the 26th amendment to the constitution was successful in derecognising these former rulers and ending the privy purse paid to them in 1971.","ᱢᱩᱪᱟᱹᱫ ᱨᱮ, ᱟᱡᱨᱮᱱ ᱥᱚᱨᱠᱟᱨ ᱥᱚᱝᱵᱤᱫᱷᱟᱱ ᱨᱮᱭᱟᱜ ᱒᱖ ᱟᱱᱟᱜ ᱥᱩᱫᱷᱨᱟᱹᱣ ᱛᱟᱞᱟᱛᱮ ᱱᱩᱠᱩ ᱢᱟᱨᱮᱱ ᱥᱟᱥᱚᱱᱤᱭᱟᱹ ᱠᱚᱣᱟᱜ ᱥᱤᱠᱠᱨᱤᱛᱤ ᱵᱟᱛᱷᱤᱞ ᱞᱟᱹᱜᱤᱫ ᱟᱨ ᱑᱙᱗᱑ ᱥᱟᱦᱤᱛ ᱨᱮ ᱩᱱᱠᱠᱩᱠᱚ ᱮᱢᱞᱮᱫ ᱯᱨᱤᱵᱷᱤ ᱯᱟᱨᱥ ᱢᱩᱪᱟᱹᱫ ᱫᱟᱲᱮᱹᱭᱟᱜ ᱛᱟᱦᱮᱫ ᱾"
"Imaaduddin Shah is an Indian actor, musician, and lyricist.","ᱤᱢᱟᱫᱩᱫᱽᱫᱤᱱ ᱥᱟᱦᱚ ᱦᱚᱭᱩᱜ ᱠᱟᱱᱟᱭ ᱢᱤᱫᱴᱟᱝ ᱵᱷᱟᱨᱚᱛᱤᱭᱚ ᱚᱵᱷᱤᱱᱮᱛᱟ, ᱨᱟᱦᱟ ᱵᱟᱰᱳᱦᱤ ᱟᱨ ᱥᱮᱨᱮᱧ ᱵᱟᱰᱳᱦᱤ ᱾"
"In Bulgaria, Children's day is celebrated on 1 June.",ᱵᱩᱞᱜᱮᱨᱤᱭᱟ ᱨᱮ ᱑ ᱡᱩᱱ ᱥᱤᱥᱩ ᱜᱤᱫᱽᱨᱟ ᱢᱟᱦᱟ ᱯᱟᱞᱟᱣ ᱦᱩᱭᱱᱟ ᱾
"Buddhism was on a decline, having made its ingress into Southeast Asia.",ᱫᱷᱚᱠᱠᱤᱱᱼ ᱯᱩᱨᱵᱚ ᱮᱥᱤᱭᱟ ᱨᱮ ᱵᱚᱞᱚ ᱠᱷᱚᱱᱟᱜ ᱵᱳᱫᱽᱫᱷᱚ ᱫᱷᱚᱨᱢᱚ ᱱᱟᱥᱟᱣ ᱞᱮᱱᱟ ᱾
"A 12th district, Eastern West Khasi Hills, was created in 2021.","ᱢᱤᱫᱴᱟᱝ ᱑᱒ ᱟᱱᱟᱜ ᱦᱚᱱᱚᱛ, ᱯᱩᱨᱩᱵᱽ ᱯᱚᱪᱷᱤᱢ ᱠᱷᱟᱥᱤ ᱵᱩᱨᱩ, ᱒᱐᱒᱑ ᱥᱟᱞ ᱨᱮᱠᱚ ᱵᱮᱱᱟᱣ ᱞᱮᱜᱼᱟ᱾"
The territory falls under the jurisdiction of the Bombay High Court.,ᱱᱚᱶᱟ ᱴᱚᱴᱷᱟ ᱫᱚ ᱵᱳᱢᱵᱮ ᱦᱟᱭᱠᱳᱨᱴ ᱨᱮᱭᱟᱜ ᱦᱚᱠ ᱟᱣᱛᱟᱨᱮ ᱯᱟᱲᱟᱜᱼᱟ ᱾
"Dozens of newspapers are published in Kerala, in nine major languages, but principally Malayalam and English.","ᱠᱮᱨᱚᱞ ᱨᱮ ᱟᱨᱮ ᱜᱚᱴᱟᱝ ᱢᱩᱲᱩᱫ ᱯᱟᱹᱨᱥᱤ, ᱢᱮᱱᱠᱷᱟᱱ ᱢᱩᱲᱩᱫ ᱫᱚ ᱢᱟᱞᱟᱭᱟᱞᱚᱢ ᱟᱨ ᱤᱝᱨᱮᱡᱤ ᱛᱮ ᱠᱤᱪᱷᱩ ᱰᱚᱡᱚᱱ ᱠᱷᱚᱵᱚᱨ ᱠᱟᱜᱚᱡᱽ ᱩᱪᱷᱟᱹᱱᱚᱜᱼᱟ ᱾"
A Superintendent of Police is responsible for the police administration of each district.,ᱡᱷᱚᱛᱚ ᱦᱚᱱᱚᱛ ᱨᱮ ᱯᱩᱞᱤᱥ ᱯᱨᱚᱥᱟᱥᱚᱱ ᱟᱜ ᱟᱹᱜᱤᱵᱷᱟᱨ ᱨᱮ ᱢᱮᱱᱟᱭᱼᱟ ᱢᱤᱫᱦᱚᱲ ᱯᱩᱞᱤᱥ ᱥᱩᱯᱟᱨ ᱾
"Tamil Nadu covers an area of 130,058Â km2 and is the tenth-largest state in India.","ᱛᱟᱢᱤᱞᱱᱟᱲᱩ ᱑᱓᱐,᱐᱕᱘ ᱠᱤᱢᱤ ᱴᱚᱴᱷᱟᱨᱮ ᱯᱟᱥᱱᱟᱣᱼᱟ ᱟᱨ ᱱᱚᱶᱟ ᱵᱷᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱜᱮᱞ ᱟᱱᱟᱝ ᱞᱟᱹᱴᱩ ᱯᱚᱱᱚᱛ ᱠᱟᱱᱟ ᱾"
Ajatashatru founded the city of Pataliputra which later became the capital of Magadha.,ᱚᱡᱟᱛᱥᱚᱛᱨᱩ ᱯᱟᱴᱞᱤᱯᱩᱛᱛᱚᱨᱚ ᱱᱟᱜᱟᱨ ᱮ ᱛᱷᱟᱯᱚᱱ ᱞᱮᱫᱟᱭ ᱾ ᱡᱟᱦᱟᱸ ᱛᱟᱭᱚᱢ ᱛᱮ ᱢᱚᱜᱚᱫᱷ ᱨᱮᱭᱟᱜ ᱨᱟᱡᱽᱱᱟᱜᱟᱨ ᱦᱳᱭ ᱞᱮᱱᱟ ᱾
"After a six-year relationship, the couple separated amicably in December 2014.","ᱛᱩᱨᱩᱭ ᱥᱮᱨᱢᱟ ᱥᱟᱹᱜᱟᱹᱭᱟᱱ ᱛᱟᱭᱚᱢ, ᱡᱩᱨᱤᱯᱟᱹᱨᱤ ᱒᱐᱑᱔ ᱥᱟᱹᱦᱤᱛ ᱨᱮᱭᱟᱜ ᱰᱤᱥᱮᱢᱵᱚᱨ ᱨᱮ ᱜᱟᱛᱮ ᱞᱮᱠᱟᱛᱮ ᱠᱤᱱ ᱵᱷᱮᱨᱟᱨ ᱮᱱᱟᱠᱤᱱ ᱾"
Silchar is the second most populous city in Assam and an important centre of business.,ᱥᱤᱞᱟᱪᱚᱨ ᱟᱥᱟᱢ ᱨᱮᱭᱟᱜ ᱫᱚᱥᱟᱨ ᱡᱚᱛᱚᱠᱷᱚᱱ ᱥᱟᱸᱜᱮ ᱦᱚᱲᱟᱱ ᱥᱟᱦᱟᱨ ᱟᱨ ᱵᱮᱯᱟᱨ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱞᱟᱹᱠᱛᱤᱭᱟᱱ ᱛᱟᱞᱢᱟ ᱾
Australian Matthew Mitcham took home gold with a final score of 537.95 in men's 10m diving.,ᱠᱚᱲᱟ ᱠᱚᱣᱟᱜ ᱑᱐ ᱢᱤᱴᱟᱨ ᱰᱟᱭᱵᱷᱤᱝ ᱨᱮ ᱚᱥᱴᱨᱮᱞᱤᱭᱟᱱ ᱢᱮᱛᱷᱤᱭᱩ ᱢᱤᱪᱮᱢ ᱕᱓᱗ᱹ᱙᱕ ᱨᱮ ᱞᱟᱯᱷᱟᱝ ᱥᱠᱳᱨ ᱠᱟᱛᱮ ᱥᱚᱱᱟᱭ ᱤᱫᱤ ᱠᱮᱫᱟ ᱾
