Hindi,Santali
वह उसे बताता है कि वह उससे कितना प्यार करता है और माफी मांगता है।,ᱟᱡ ᱩᱱᱤᱭ ᱢᱮᱛᱟᱫᱮᱭᱟ ᱟᱡ ᱩᱱᱤ ᱛᱤᱱᱟᱹᱜ ᱮ ᱫᱩᱞᱟᱹᱲᱟᱭᱟ ᱢᱮᱱᱛᱮ ᱟᱨ ᱩᱱᱤ ᱴᱷᱮᱱ ᱤᱠᱟᱹᱭ ᱠᱷᱚᱡᱟ ᱾
मैं यह शपथ अपने देश के एकीकरण की भावना से लेता हूं जो सरदार वल्लभभाई पटेल की दूरदर्शिता और कार्यों से संभव हुआ।,ᱤᱧ ᱤᱧᱟᱹᱜ ᱫᱤᱥᱚᱢ ᱨᱮ ᱵᱟᱨᱟᱵᱟᱨᱤ ᱠᱟᱜ ᱪᱮᱛᱟᱱ ᱛᱮ ᱱᱤᱭᱟ ᱠᱟᱛᱷᱟ ᱮᱢ ᱤᱧ ᱦᱟᱛᱟᱣ ᱮᱫᱟ ᱡᱟᱦᱟᱸ ᱥᱚᱨᱫᱟᱨ ᱵᱚᱞᱞᱚᱵᱷ ᱵᱷᱟᱭ ᱯᱮᱴᱮᱞ ᱟᱜ ᱧᱮᱛᱮᱞ ᱟᱨ ᱠᱟᱹᱢᱤ ᱦᱚᱨᱟᱛᱮ ᱦᱩᱭ ᱫᱟᱲᱮᱞᱮᱱᱟ ᱾
गुजरात के पर्यटन में धार्मिक स्थल एक प्रमुख भूमिका निभाते हैं।,ᱜᱩᱡᱽᱨᱟᱴ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱡᱚᱴᱚᱱ ᱨᱮ ᱫᱷᱚᱨᱚᱢ ᱴᱷᱟᱶ ᱢᱤᱫᱴᱟᱝ ᱢᱩᱬᱩᱫ ᱮᱱᱮᱢᱮ ᱠᱷᱮᱢᱟᱣ ᱟᱠᱟᱫᱟ ᱾
"अपने युवा दिनों में, वे गांधी और उनके आदर्शों के प्रति प्रतिबद्ध थे।","ᱟᱭᱟᱜ ᱜᱤᱫᱽᱨᱟᱹ ᱩᱢᱮᱨ ᱨᱮ, ᱩᱱᱤ ᱫᱚ ᱜᱟᱱᱫᱷᱤ ᱟᱨ ᱩᱱᱤᱭᱟᱜ ᱟᱫᱚᱨᱥᱚ ᱨᱮ ᱠᱟᱛᱷᱟ ᱫᱚᱦᱚᱭ ᱨᱤᱠᱟᱹ ᱞᱮᱫᱟ ᱾"
"मुख्य उपासक, जिन्हें परवैतिन कहा जाता है, आमतौर पर महिलाएं होती हैं।",ᱯᱨᱚᱵᱚᱭᱛᱤᱱ ᱧᱩᱛᱩᱢᱟᱱ ᱢᱩᱲᱩᱫ ᱩᱯᱟᱥᱚᱠ ᱠᱚ ᱥᱟᱫᱷᱟᱨᱚᱱᱛᱚ ᱛᱤᱨᱞᱟᱹ ᱠᱚ ᱦᱚᱭᱩᱜᱼᱟ ᱾
सदस्यता कार्ड आमतौर पर 10 दिनों के भीतर मेल किए जाते हैं।,ᱨᱟᱹᱥᱤᱭᱟᱹ ᱠᱟᱨᱰᱠᱚ ᱥᱟᱫᱷᱟᱨᱚᱱᱚᱛ ᱑᱐ ᱢᱟᱦᱟ ᱵᱷᱤᱛᱟᱹᱨ ᱨᱮ ᱢᱮᱞ ᱦᱩᱭᱩᱜᱼᱟ ᱾
"पुडुचेरी के कुछ क्षेत्र स्वयं गैर-सन्निहित परिक्षेत्रों के समामेलन हैं, जिन्हें भारत में अक्सर ""पॉकेट"" कहा जाता है।","ᱯᱚᱫᱩᱪᱮᱨᱤ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱵᱟᱨ ᱴᱚᱴᱷᱟ ᱦᱟᱸᱰᱮ ᱱᱟᱰᱮ ᱪᱷᱤᱴ ᱢᱚᱦᱚᱞ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱫᱚ, ᱵᱷᱟᱨᱚᱛ ᱡᱟᱦᱟᱸ ᱫᱚ ""ᱯᱚᱠᱮᱴ' ᱢᱮᱱᱛᱮᱠᱚ ᱢᱮᱛᱟᱜᱼᱟ ᱾"
सुहासिनी एक अभिनेत्री हैं और उन्होंने फिल्म निर्देशक मणिरत्नम से शादी की है।,ᱥᱩᱦᱟᱥᱤᱱᱤ ᱫᱚ ᱢᱤᱫ ᱦᱚᱲ ᱯᱟᱴᱷᱚᱠᱤᱭᱟᱹ ᱟᱨ ᱪᱚᱞᱚᱛ ᱪᱤᱛᱟᱹᱨ ᱥᱟᱯᱲᱟᱣᱤᱡ ᱢᱚᱱᱤ ᱨᱚᱛᱱᱚᱢᱮ ᱵᱟᱯᱞᱟ ᱞᱮᱫᱮ ᱛᱟᱦᱮᱸᱫ ᱾
इनमें उल्लिखित रागों का प्रदर्शन करते समय उपयोग किए जाने वाले सोल्फेज के अंश होते हैं।,ᱚᱞ ᱟᱠᱟᱱ ᱨᱟᱜ ᱠᱚ ᱢᱩᱪᱟᱹᱫ ᱚᱠᱛᱮ ᱵᱮᱣᱦᱟᱨ ᱞᱟᱹᱜᱤᱫ ᱱᱚᱣᱟ ᱠᱚᱨᱮ ᱥᱚᱞᱯᱷᱮᱡ ᱨᱮᱭᱟᱜ ᱠᱩᱴᱨᱟᱹ ᱛᱟᱸᱦᱮᱱᱟ ᱾
ये ज्यादातर चीन-तिब्बती भाषा परिवार से संबंधित हैं।,ᱱᱚᱶᱟ ᱠᱚᱫᱚ ᱡᱟᱹᱥᱛᱤ ᱠᱟᱭᱛᱮ ᱪᱤᱱᱼᱛᱤᱵᱵᱚᱛ ᱯᱟᱹᱨᱥᱤ ᱜᱷᱟᱨᱚᱧᱡᱽ ᱨᱮ ᱥᱮᱞᱮᱫ ᱢᱮᱱᱟᱜᱼᱟ ᱾
करवा चौथ त्योहार से जुड़ी कई किंवदंतियां हैं।,ᱠᱟᱨᱳᱣᱟ ᱪᱚᱣᱛᱷᱚ ᱯᱚᱨᱚᱵᱽ ᱥᱟᱶᱛᱮ ᱨᱩᱯᱠᱟᱛᱷᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱾
"विवाह समारोह के पहले भाग के समापन पर, दुल्हन को उपहार देने की प्रथा है।","ᱵᱟᱯᱞᱟ ᱚᱲᱟᱜ ᱨᱮ ᱯᱳᱭᱞᱳ ᱦᱚᱨᱟ ᱢᱩᱪᱟᱹᱫ ᱛᱟᱭᱚᱢ, ᱱᱟᱶᱟ ᱵᱟᱦᱩᱣᱟᱜ ᱛᱤ ᱨᱮ ᱥᱟᱸᱫᱮᱥ ᱪᱟᱞ ᱨᱮᱭᱟᱜ ᱟᱹᱨᱤ ᱪᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾"
"उदाहरण के लिए, एक समुदाय जो कभी एक मिशन था और उनके पास एक पहाड़ की चोटी पर एक बड़ा क्रॉस था जो उनके लिए एक ऐतिहासिक मार्कर है।","ᱫᱟᱹᱭᱠᱟᱹ ᱥᱟᱞᱟᱜ , ᱢᱤᱫᱴᱟᱝ ᱜᱟᱛᱟᱜ ᱡᱟᱸᱦᱟ ᱢᱤᱫ ᱚᱠᱛᱚ ᱢᱤᱫᱴᱟᱝ ᱢᱤᱥᱚᱱ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱟᱨ ᱡᱟᱦᱟᱱ ᱵᱩᱨᱩ ᱪᱮᱛᱟᱱ ᱨᱮ ᱩᱱᱠᱩᱣᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱢᱟᱨᱟᱝ ᱠᱩᱨᱩᱥ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱡᱟᱸᱦᱟ ᱫᱚ ᱩᱱᱠᱩ ᱴᱷᱮᱱ ᱟᱹᱰᱤ ᱡᱟᱥᱛᱤ ᱠᱟᱭᱛᱮ ᱱᱟᱜᱟᱢ ᱟᱱᱟᱜ ᱪᱤᱱᱦᱟᱹ ᱠᱟᱱᱟ ᱾"
"चटजो नदी, रामकृष्ण मिशन परिसर, सेंट जॉर्ज कैथोलिक चर्च और आसपास के गाँव जैसे कुछ ही पर्यटक स्थल हैं जो देवमाली में सबसे अच्छे आकर्षण हैं।","ᱪᱟᱴᱡᱳ ᱜᱟᱰᱟ, ᱨᱟᱢᱠᱨᱤᱥᱱᱚ ᱢᱤᱥᱚᱱ ᱠᱮᱢᱯᱟᱥ, ᱥᱮᱱᱴ ᱡᱚᱨᱡᱽ ᱠᱮᱛᱷᱚᱞᱤᱠ ᱪᱟᱨᱪ ᱟᱨ ᱟᱰᱮᱯᱟᱥᱮ ᱨᱮᱭᱟᱜ ᱟᱛᱳ ᱠᱚ ᱞᱮᱠᱟᱱ ᱛᱤᱱᱟᱹᱜ ᱜᱟᱱ ᱧᱮᱞᱡᱚᱝ ᱴᱷᱟᱶ ᱢᱮᱱᱟᱜᱼᱟ ᱫᱮᱣᱢᱟᱞᱤ ᱨᱮᱭᱟᱜ ᱥᱚᱨᱮᱥ ᱚᱱᱚᱨ ᱾"
फिर आपको अपने जीवनवृत्त और अपनी योग्यता के आधार पर कई पदों पर आवेदन भेजना चाहिए जो आपको लगता है कि आपके लिए उपयुक्त होंगे।,ᱚᱱᱟᱛᱟᱭᱚᱢ ᱟᱢᱟᱜ ᱡᱤᱭᱚᱱᱪᱩᱨᱤᱛ ᱟᱨ ᱟᱢᱟᱜ ᱡᱳᱜᱢᱟᱱ ᱪᱮᱛᱟᱱ ᱴᱮᱸᱦᱟᱴ ᱠᱟᱛᱮ ᱟᱢᱟᱜ ᱞᱟᱹᱜᱤᱫ ᱥᱚᱨᱮᱥ ᱢᱮᱱᱛᱮᱢ ᱢᱚᱱᱮᱭᱟ ᱮᱢᱚᱱ ᱵᱮᱥ ᱛᱤᱱᱟᱹᱜ ᱯᱚᱫ ᱨᱮᱭ ᱟᱨᱫᱟᱥ ᱥᱟᱠᱟᱢ ᱠᱳᱞ ᱢᱮ ᱾
"उन्होंने हाथ से काते हुए कपड़े भी पहने जिन्हें बोलचाल की भाषा में ""खादी"" कहा जाता था, जैसा कि गांधी ने वकालत की थी।",ᱩᱱᱤ ᱜᱟᱱᱫᱷᱤᱡᱤ ᱫᱟᱨᱟᱭᱛᱮ ᱵᱮᱱᱟᱣᱟᱜ 'ᱠᱷᱟᱫᱤ' ᱧᱩᱛᱩᱢᱛᱮ ᱩᱨᱩᱢᱚᱜ ᱛᱤᱛᱮ ᱛᱟᱠᱚᱭ ᱜᱮᱸᱫᱟᱜ ᱠᱤᱪᱨᱤᱡ ᱦᱚᱭ ᱦᱚᱨᱚᱜᱽ ᱛᱟᱦᱮᱱ ᱾
रीनू मैथ्यूज एक भारतीय अभिनेत्री हैं जिन्होंने मलयालम फिल्मों में अभिनय किया है।,ᱨᱮᱱᱩ ᱢᱮᱛᱷᱤᱣᱩᱥ ᱫᱚ ᱠᱟᱱᱟᱭ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱱ ᱢᱤᱫ ᱯᱟᱴᱷᱚᱠᱤᱭᱟᱹ ᱡᱟᱦᱟᱸᱭ ᱫᱚ ᱢᱟᱞᱟᱭᱚᱞᱚᱢ ᱪᱚᱞᱚᱛ ᱪᱤᱛᱟᱹᱨ ᱨᱮ ᱚᱵᱷᱤᱱᱚᱭ ᱟᱠᱟᱫᱟᱭ ᱾
रे कलकत्ता के प्रति अपने लगाव और शांतिनिकेतन में बौद्धिक जीवन के प्रति कम सम्मान के कारण जाने के लिए अनिच्छुक थे।,ᱠᱚᱞᱠᱟᱛᱟ ᱥᱟᱶ ᱟᱡᱟᱜ ᱡᱚᱯᱚᱲᱟᱣ ᱟᱨ ᱥᱟᱱᱛᱤᱱᱤᱠᱮᱛᱚᱱ ᱨᱮ ᱵᱩᱫᱽᱫᱷᱤᱡᱤᱵᱤ ᱡᱤᱣᱚᱱ ᱥᱟᱶ ᱠᱚᱢ ᱢᱟᱱᱚᱛ ᱨᱮᱱᱟᱜ ᱚᱡᱮᱛᱮ ᱥᱚᱹᱛᱛᱚᱡᱤᱛ ᱪᱟᱞᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱛᱮ ᱨᱟᱹᱡᱤ ᱵᱟᱝᱮ ᱛᱟᱦᱮᱸᱠᱟᱱᱟ ᱾
राज्य में हिंदू बहुसंख्यक हैं और राज्य के सभी जिलों में प्रमुख धर्म हैं।,ᱦᱤᱱᱫᱩ ᱠᱚᱫᱚ ᱯᱚᱱᱚᱛ ᱨᱮ ᱥᱟᱸᱜᱮᱼᱮᱞᱟᱱ ᱟᱨ ᱯᱚᱱᱚᱛ ᱨᱮᱭᱟᱜ ᱥᱟᱱᱟᱢ ᱦᱚᱱᱚᱛ ᱨᱮᱜᱮ ᱫᱟᱲᱮᱭᱟᱱ ᱫᱷᱚᱨᱚᱢ ᱾
"वर्षों से, मुगलों के बीच आंतरिक विवाद होने लगे, जो कई बार उनका ध्यान भटकाने लगे।","ᱥᱮᱨᱢᱟ ᱛᱟᱭᱚᱢ ᱥᱮᱨᱢᱟ ᱫᱷᱟᱹᱵᱤᱡ, ᱢᱩᱜᱷᱚᱞ ᱠᱚ ᱢᱩᱫᱨᱮ ᱵᱷᱤᱛᱨᱤ ᱵᱤᱨᱩᱫᱷ ᱪᱟᱞᱟᱜ ᱡᱟᱦᱟᱸ ᱩᱱᱠᱩ ᱜᱷᱟᱱᱮ ᱜᱷᱟᱱᱮ ᱟᱹᱰᱤ ᱟᱸᱴᱮ ᱟᱹᱲᱤᱥ ᱠᱚᱣᱟᱭ ᱾"
उन्होंने फुकरे श्रृंखला में जफर की प्रेमिका नीतू सिंह के रूप में लोकप्रियता हासिल की।,ᱩᱱᱤ ᱫᱚ ᱯᱷᱩᱠᱨᱮ ᱥᱤᱨᱤᱡᱽ ᱨᱮ ᱡᱟᱯᱷᱚᱨ ᱨᱮᱱ ᱜᱟᱛᱮᱠᱩᱲᱤ ᱱᱤᱛᱩ ᱥᱤᱝᱦᱚ ᱞᱮᱠᱟᱛᱮᱭ ᱧᱩᱢ ᱩᱨᱩᱢ ᱞᱮᱱᱟ ᱾
प्रत्येक जनजाति की एक या अधिक बोलियाँ होती हैं जो दूसरों के लिए समझ से बाहर होती हैं।,"ᱥᱟᱱᱟᱢ ᱩᱯᱚᱡᱟᱹᱛᱤᱭᱟᱜ ᱢᱤᱫ ᱵᱟᱝᱠᱷᱟᱱ ᱟᱭᱢᱟ ᱪᱟᱸᱜᱟ ᱯᱟᱹᱨᱥᱤ ᱢᱮᱱᱟᱜᱼᱟ, ᱡᱟᱸᱦᱟ ᱮᱴᱟᱜ ᱠᱚ ᱴᱷᱮᱱ ᱟᱡᱷᱟᱴ ᱜᱮᱭᱟ ᱾"
वह आपको अदालत के मुकदमे में बयान देने और/या गवाही देने के लिए भी तैयार करेगा।,ᱛᱤᱨᱞᱟᱹ ᱥᱮ ᱠᱚᱲᱟ ᱮᱴᱚᱨᱱᱤ ᱟᱢ ᱡᱚᱵᱟᱱ ᱠᱟᱛᱷᱟ ᱠᱚ ᱟᱨ/ ᱥᱮ ᱠᱟᱹᱪᱷᱟᱹᱨᱤ ᱨᱮᱭᱟᱜ ᱵᱤᱪᱟᱹᱨ ᱨᱮ ᱥᱟᱹᱠᱷᱤ ᱮᱢ ᱞᱟᱹᱜᱤᱫ ᱛᱮᱭᱟᱨ ᱢᱮᱭᱟᱭ ᱾
उन्हें परियोजना के शैक्षिक पहलुओं से परिचित कराया गया और तकनीकी पहलुओं और समुदाय-निर्माण के प्रयासों में बहुत सहायता की गई।,"ᱯᱚᱱᱛᱷᱟ ᱨᱮᱭᱟᱜ ᱥᱮᱪᱮᱫ ᱟᱱ ᱱᱟᱠᱷᱟᱠᱚ ᱥᱟᱞᱟᱜ ᱩᱱᱤ ᱩᱯᱨᱩᱢ ᱦᱳᱭ ᱞᱮᱱ ᱛᱟᱭᱟ, ᱟᱨ ᱯᱚᱨᱚᱡᱩᱠᱛᱤ ᱠᱷᱚᱱ ᱟᱨ ᱜᱩᱴ ᱵᱮᱱᱟᱣ ᱨᱮ ᱟᱹᱰᱤ ᱨᱤᱠᱤᱨ ᱛᱮ ᱩᱱᱤ ᱟᱹᱰᱤ ᱞᱮᱠᱟᱛᱮ ᱜᱚᱲᱚ ᱞᱮᱱᱟᱭ ᱾"
मध्य प्रदेश प्रशासनिक उद्देश्यों के लिए 52 जिलों में विभाजित है।,ᱯᱨᱚᱥᱟᱥᱚᱱᱤᱠ ᱠᱷᱟᱛᱤᱨᱛᱮ ᱢᱚᱫᱽᱫᱷᱚᱯᱨᱚᱫᱮᱥ ᱫᱚ ᱕᱒ ᱜᱚᱴᱟᱝ ᱦᱚᱱᱚᱛ ᱨᱮ ᱦᱟᱹᱴᱤᱧ ᱟᱠᱟᱱᱟ ᱾
"सरकार, स्थानीय और अंतर्राष्ट्रीय संगठनों द्वारा कार्यक्रम उपचार की इस पारंपरिक प्रणाली को विकसित करने और पुनर्जीवित करने के लिए काम कर रहे हैं।","ᱥᱚᱠᱟᱨ, ᱴᱚᱴᱷᱟᱨᱮᱱ ᱟᱨ ᱡᱮᱜᱮᱫ ᱡᱟᱠᱟᱫ ᱜᱟᱶᱛᱟ ᱠᱚ ᱠᱟᱹᱢᱤ ᱦᱚᱨᱟ ᱠᱚ ᱱᱚᱶᱟ ᱥᱮᱨᱣᱟ ᱟᱱᱟᱜ ᱥᱩᱫᱷᱨᱟᱹᱣ ᱟᱨ ᱩᱛᱱᱟᱹᱣ ᱥᱟᱶᱛᱮ ᱫᱚᱲᱦᱟᱡᱤᱭᱟᱹᱲ ᱞᱟᱹᱜᱤᱫ ᱮ ᱠᱟᱹᱢᱤ ᱠᱟᱱᱟ ᱾"
रूपकुंड की यात्रा बुग्याल के घास के मैदानों से होकर गुजरती है।,ᱨᱩᱯᱠᱩᱱᱰᱩ ᱫᱷᱟᱹᱵᱤᱡ ᱴᱨᱮᱠ ᱫᱚ ᱵᱩᱜᱤᱭᱟᱞ ᱛᱟᱥᱟᱫ ᱢᱮᱞᱟᱱ ᱛᱟᱞᱟᱛᱮ ᱪᱟᱞᱟᱣ ᱟᱠᱟᱱᱟ ᱾
"साथ ही, एक पुनर्गठन अधिनियम भी पारित किया गया, जो राज्य को दो केंद्र शासित प्रदेशों, जम्मू और कश्मीर और लद्दाख में पुनर्गठित करेगा।","ᱤᱱᱟᱹ ᱚᱠᱛᱚ ᱨᱮᱜᱮ ᱢᱤᱫᱴᱟᱝ ᱫᱚᱲᱦᱟ ᱵᱮᱱᱟᱣ ᱟᱭᱤᱱ ᱯᱟᱥ ᱞᱮᱱᱟ, ᱡᱟᱸᱦᱟ ᱫᱚ ᱡᱚᱢᱢᱩᱼᱠᱟᱥᱢᱤᱨ ᱟᱨ ᱞᱟᱫᱟᱠᱷ, ᱱᱚᱶᱟ ᱵᱟᱨᱭᱟ ᱫᱤᱥᱚᱢ ᱥᱚᱨᱠᱟᱨᱟᱜ ᱥᱟᱥᱚᱱ ᱴᱷᱟᱶ ᱨᱮᱭ ᱵᱮᱱᱟᱶ ᱨᱩᱣᱟᱹᱲᱟ ᱾"
"पल्लवों ने दक्षिण भारत के कुछ हिस्सों पर शासन किया, जिसकी राजधानी कांचीपुरम थी।",ᱯᱚᱞᱞᱚᱵᱽ ᱠᱚᱫᱚ ᱫᱩᱠᱠᱷᱤᱱ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱠᱤᱪᱷᱩ ᱦᱤᱸᱥ ᱠᱚ ᱥᱟᱥᱚᱱ ᱞᱮᱫᱟ ᱟᱨ ᱠᱟᱧᱪᱤᱯᱩᱨᱚᱢ ᱨᱮ ᱟᱠᱚᱣᱟᱜ ᱨᱟᱡᱽᱜᱟᱲ ᱛᱟᱦᱮᱸᱠᱟᱱᱟ ᱾
"यदि आपको लगता है कि थॉमस कानून को ट्रैक करने में आपकी मदद कर सकता है, तो थॉमस साइट पर जाकर शुरू करें।","ᱟᱢ ᱡᱩᱫᱤᱢ ᱢᱚᱱᱮᱭᱟᱢ ᱛᱷᱚᱢᱟᱥ ᱟᱢ ᱟᱹᱱ ᱯᱟᱸᱡᱟᱭ ᱨᱮ ᱜᱚᱲᱚ ᱫᱟᱲᱮᱭᱟᱢᱟ, ᱮᱸᱰᱮᱠᱷᱟᱱ ᱛᱷᱚᱢᱟᱥ ᱥᱟᱭᱤᱴᱨᱮ ᱪᱟᱞᱟᱣ ᱠᱟᱛᱮ ᱠᱟᱹᱢᱤ ᱮᱛᱚᱦᱚᱵ ᱢᱮ ᱾"
"मेघालय के लोकसभा में दो प्रतिनिधि हैं, जिनमें से एक शिलांग और एक तुरा से है।","ᱢᱮᱜᱷᱟᱞᱚᱭ ᱨᱮᱭᱟᱜ ᱞᱳᱠᱥᱚᱵᱷᱟ ᱨᱮ ᱵᱟᱨᱦᱚᱲ ᱢᱟᱬᱛᱮ ᱢᱮᱱᱟᱜ ᱠᱤᱱᱟ, ᱥᱤᱞᱚᱝ ᱟᱨ ᱛᱩᱨᱟᱹ ᱠᱷᱚᱱ ᱢᱤᱫᱦᱚᱲ ᱠᱟᱛᱮ ᱾"
"अंडमान द्वीप समूह में लगभग 400-450 स्वदेशी अंडमानी, जरावा और सेंटिनली, विशेष रूप से, दृढ़ स्वतंत्रता बनाए रखते हैं और संपर्क के अधिकांश प्रयासों को अस्वीकार करते हैं।","ᱟᱱᱫᱟᱢᱟᱱ ᱫᱤᱯᱯᱩᱧᱡᱽ ᱨᱮ ᱯᱮᱨᱟᱭ ᱔᱐᱐ᱼ᱔᱕᱐ ᱦᱚᱲ ᱟᱱᱫᱟᱢᱟᱱᱤ ᱟᱹᱫᱤᱵᱟᱹᱥᱤ, ᱠᱷᱟᱥ ᱠᱟᱭᱛᱮ ᱡᱟᱨᱣᱟ ᱟᱨ ᱥᱮᱱᱴᱤᱱᱮᱞᱤᱡᱽ ᱢᱮᱱᱟᱜ ᱠᱚ ᱜᱮᱭᱟᱹ ᱡᱟᱸᱦᱟᱭ ᱠᱚ ᱟᱠᱳᱣᱟᱜ ᱯᱷᱩᱱᱩᱨᱜᱟᱹᱞ ᱠᱚ ᱡᱤᱭᱟᱹᱲ ᱫᱚᱦᱚ ᱟᱠᱟᱫᱟ ᱟᱨ ᱡᱳᱜᱟᱡᱳᱜᱽ ᱨᱮᱭᱟᱜ ᱟᱹᱰᱤ ᱜᱟᱱ ᱯᱚᱨᱚᱪᱮᱥᱴᱟ ᱠᱚ ᱮᱸᱰᱮᱞ ᱟᱠᱟᱫᱟ ᱾"
कल्चर्स को अक्सर नहीं लिया जाता है या उनकी आवश्यकता नहीं होती है क्योंकि अधिकांश मामले या तो समय के साथ या विशिष्ट एंटीबायोटिक दवाओं के साथ ठीक हो जाते हैं।,ᱫᱤᱱᱟᱹᱢ ᱫᱚ ᱵᱤᱰᱟᱶ ᱵᱟᱝ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱥᱮ ᱚᱱᱟ ᱨᱮᱱᱟᱜ ᱞᱟᱹᱠᱛᱤ ᱵᱟᱝ ᱦᱩᱭᱩᱜ ᱟ ᱪᱮᱫᱟᱜ ᱥᱮ ᱟᱹᱰᱤᱜᱟᱱ ᱢᱟᱢᱞᱟ ᱚᱠᱛᱚ ᱨᱮ ᱥᱮ ᱮᱢᱱᱤ ᱮᱱᱴᱤᱵᱟᱭᱳᱴᱤᱠ ᱨᱟᱱ ᱥᱟᱞᱟᱜ ᱛᱚᱨᱟᱣ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ᱾
गोरखा साम्राज्य ने कई राज्यों पर विजय प्राप्त की और 1768 में नेपाल में सत्ता में आया।,ᱜᱳᱨᱠᱷᱟ ᱯᱚᱱᱚᱛ ᱟᱭᱢᱟ ᱯᱚᱱᱚᱛ ᱮ ᱡᱤᱛᱟᱹᱣ ᱞᱮᱫᱟ ᱟᱨ ᱑᱗᱖᱘ ᱥᱟᱹᱦᱤᱛ ᱨᱮ ᱱᱮᱯᱟᱞ ᱨᱮ ᱠᱷᱚᱢᱚᱛᱟ ᱨᱮᱭ ᱦᱮᱡ ᱞᱮᱱᱟ ᱾
"त्रिपुरा भारत में भौगोलिक रूप से अलग-थलग स्थान पर स्थित है, क्योंकि केवल एक प्रमुख राजमार्ग, राष्ट्रीय राजमार्ग 8, इसे देश के बाकी हिस्सों से जोड़ता है।","ᱛᱨᱤᱯᱩᱨᱟ ᱫᱚ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱚᱛᱱᱚᱜ ᱟᱱᱟᱜ ᱞᱮᱠᱟᱛᱮ ᱵᱷᱮᱜᱟᱨ ᱟᱱ ᱴᱷᱟᱶ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ, ᱪᱮᱫᱟᱜ ᱥᱮ ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱢᱩᱬᱩᱫ ᱰᱟᱦᱟᱨ, ᱡᱟᱹᱛᱤᱭᱟᱹᱨᱤ ᱰᱟᱦᱟᱨ ᱘, ᱱᱚᱶᱟ ᱫᱚ ᱫᱤᱥᱚᱢ ᱨᱮᱭᱟᱜ ᱮᱴᱟᱜ ᱦᱤᱸᱥ ᱥᱟᱞᱟᱜᱼᱮ ᱥᱮᱞᱮᱫ ᱟᱠᱟᱫᱟ ᱾"
"आखिरकार, संविधान में 26वें संशोधन द्वारा उनकी सरकार इन पूर्व शासकों की मान्यता को रद्द करने और 1971 में उन्हें दिए गए प्रिवी पर्स को समाप्त करने में सफल रही।","ᱢᱩᱪᱟᱹᱫ ᱨᱮ, ᱟᱡᱨᱮᱱ ᱥᱚᱨᱠᱟᱨ ᱥᱚᱝᱵᱤᱫᱷᱟᱱ ᱨᱮᱭᱟᱜ ᱒᱖ ᱟᱱᱟᱜ ᱥᱩᱫᱷᱨᱟᱹᱣ ᱛᱟᱞᱟᱛᱮ ᱱᱩᱠᱩ ᱢᱟᱨᱮᱱ ᱥᱟᱥᱚᱱᱤᱭᱟᱹ ᱠᱚᱣᱟᱜ ᱥᱤᱠᱠᱨᱤᱛᱤ ᱵᱟᱛᱷᱤᱞ ᱞᱟᱹᱜᱤᱫ ᱟᱨ ᱑᱙᱗᱑ ᱥᱟᱦᱤᱛ ᱨᱮ ᱩᱱᱠᱠᱩᱠᱚ ᱮᱢᱞᱮᱫ ᱯᱨᱤᱵᱷᱤ ᱯᱟᱨᱥ ᱢᱩᱪᱟᱹᱫ ᱫᱟᱲᱮᱹᱭᱟᱜ ᱛᱟᱦᱮᱫ ᱾"
"इमादुद्दीन शाह एक भारतीय अभिनेता, संगीतकार और गीतकार हैं।","ᱤᱢᱟᱫᱩᱫᱽᱫᱤᱱ ᱥᱟᱦᱚ ᱦᱚᱭᱩᱜ ᱠᱟᱱᱟᱭ ᱢᱤᱫᱴᱟᱝ ᱵᱷᱟᱨᱚᱛᱤᱭᱚ ᱚᱵᱷᱤᱱᱮᱛᱟ, ᱨᱟᱦᱟ ᱵᱟᱰᱳᱦᱤ ᱟᱨ ᱥᱮᱨᱮᱧ ᱵᱟᱰᱳᱦᱤ ᱾"
बुल्गारिया में बाल दिवस 1 जून को मनाया जाता है।,ᱵᱩᱞᱜᱮᱨᱤᱭᱟ ᱨᱮ ᱑ ᱡᱩᱱ ᱥᱤᱥᱩ ᱜᱤᱫᱽᱨᱟ ᱢᱟᱦᱟ ᱯᱟᱞᱟᱣ ᱦᱩᱭᱱᱟ ᱾
